


                       Node(122)                     Node(123)                     Node(124)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
    339.932   -156.058   .2848   20.000     -201.093   .2581   20.000     -183.787   .2674   20.000
    340.027   -156.097   .2848   20.000     -201.669   .2579   20.000     -184.130   .2672   20.000
    340.122   -156.136   .2848   20.000     -202.193   .2576   20.000     -184.455   .2670   20.000
    340.248   -156.189   .2848   20.000     -202.809   .2573   20.000     -184.858   .2668   20.000
    340.374   -156.244   .2847   20.000     -203.369   .2571   20.000     -185.240   .2665   20.000
    340.500   -156.299   .2847   20.000     -203.882   .2568   20.000     -185.604   .2663   20.000
    340.633   -156.360   .2846   20.000     -204.378   .2566   20.000     -185.969   .2661   20.000
    340.765   -156.421   .2846   20.000     -204.841   .2564   20.000     -186.320   .2658   20.000
    340.898   -156.485   .2846   20.000     -205.279   .2562   20.000     -186.657   .2656   20.000
    341.030   -156.551   .2845   20.000     -205.698   .2560   20.000     -186.985   .2654   20.000
    341.163   -156.618   .2845   20.000     -206.101   .2558   20.000     -187.303   .2652   20.000
    341.295   -156.688   .2844   20.000     -206.490   .2556   20.000     -187.615   .2650   20.000
    341.428   -156.760   .2844   20.000     -206.868   .2555   20.000     -187.921   .2648   20.000
    341.560   -156.833   .2843   20.000     -207.235   .2553   20.000     -188.225   .2646   20.000
    341.693   -156.909   .2843   20.000     -207.593   .2551   20.000     -188.529   .2645   20.000
    341.825   -156.987   .2843   20.000     -207.942   .2550   20.000     -188.827   .2643   20.000
    341.958   -157.067   .2842   20.000     -208.283   .2548   20.000     -189.121   .2641   20.000
    342.090   -157.148   .2842   20.000     -208.617   .2547   20.000     -189.410   .2639   20.000
    342.223   -157.232   .2841   20.000     -208.946   .2545   20.000     -189.696   .2637   20.000
    342.356   -157.317   .2840   20.000     -209.270   .2544   20.000     -189.979   .2635   20.000
    342.488   -157.404   .2840   20.000     -209.589   .2542   20.000     -190.261   .2634   20.000
    342.621   -157.493   .2839   20.000     -209.904   .2541   20.000     -190.540   .2632   20.000
    342.753   -157.583   .2839   20.000     -210.214   .2539   20.000     -190.818   .2630   20.000
    342.886   -157.675   .2838   20.000     -210.521   .2538   20.000     -191.093   .2628   20.000
    343.018   -157.768   .2838   20.000     -210.824   .2536   20.000     -191.366   .2627   20.000
    343.151   -157.863   .2837   20.000     -211.125   .2535   20.000     -191.642   .2625   20.000
    343.283   -157.960   .2836   20.000     -211.423   .2534   20.000     -191.920   .2623   20.000
    343.416   -158.057   .2836   20.000     -211.718   .2532   20.000     -192.196   .2622   20.000
    343.548   -158.156   .2835   20.000     -212.012   .2531   20.000     -192.465   .2621   20.000
    343.721   -158.287   .2834   20.000     -212.389   .2529   20.000     -192.809   .2619   20.000
    343.894   -158.420   .2834   20.000     -212.767   .2528   20.000     -193.156   .2618   20.000
    344.067   -158.554   .2833   20.000     -213.140   .2526   20.000     -193.498   .2616   20.000
    344.240   -158.691   .2832   20.000     -213.510   .2524   20.000     -193.840   .2615   20.000
    344.413   -158.829   .2831   20.000     -213.877   .2522   20.000     -194.179   .2613   20.000
    344.585   -158.969   .2830   20.000     -214.240   .2521   20.000     -194.515   .2612   20.000
    344.758   -159.110   .2829   20.000     -214.603   .2519   20.000     -194.853   .2610   20.000
    344.931   -159.252   .2828   20.000     -214.964   .2517   20.000     -195.189   .2608   20.000
    345.104   -159.396   .2827   20.000     -215.322   .2516   20.000     -195.519   .2607   20.000
    345.277   -159.541   .2826   20.000     -215.678   .2514   20.000     -195.847   .2605   20.000
    345.450   -159.687   .2826   20.000     -216.030   .2512   20.000     -196.173   .2604   20.000
    345.623   -159.834   .2825   20.000     -216.380   .2511   20.000     -196.498   .2602   20.000
    345.795   -159.982   .2824   20.000     -216.727   .2509   20.000     -196.820   .2601   20.000
    345.968   -160.132   .2823   20.000     -217.072   .2508   20.000     -197.139   .2599   20.000
    346.141   -160.282   .2822   20.000     -217.415   .2506   20.000     -197.458   .2598   20.000
    346.314   -160.433   .2821   20.000     -217.757   .2505   20.000     -197.776   .2597   20.000
    346.487   -160.584   .2820   20.000     -218.097   .2503   20.000     -198.090   .2595   20.000
    346.660   -160.737   .2819   20.000     -218.434   .2501   20.000     -198.401   .2594   20.000
    346.833   -160.890   .2818   20.000     -218.768   .2500   20.000     -198.710   .2592   20.000
    347.005   -161.044   .2817   20.000     -219.103   .2498   20.000     -199.016   .2591   20.000
