


                       Node(***)                     Node(***)                     Node(***)

     time        hNew    theta    Temp         hNew    theta    Temp         hNew    theta    Temp    
   3333.333    -29.864   .3468   20.000       -7.348   .4153   20.000       -5.884   .4194   20.000
   3444.444    -29.648   .3476   20.000       -7.303   .4155   20.000       -5.847   .4195   20.000
   3583.333    -29.381   .3481   20.000       -7.253   .4156   20.000       -5.809   .4196   20.000
   3722.222    -29.173   .3487   20.000       -7.217   .4157   20.000       -5.780   .4197   20.000
   3861.111    -28.976   .3493   20.000       -7.188   .4158   20.000       -5.757   .4197   20.000
   4000.000    -28.789   .3498   20.000       -7.164   .4158   20.000       -5.739   .4198   20.000
   4142.857    -28.613   .3503   20.000       -7.143   .4159   20.000       -5.722   .4198   20.000
   4285.714    -28.445   .3507   20.000       -7.125   .4160   20.000       -5.708   .4198   20.000
   4428.571    -28.297   .3514   20.000       -7.115   .4160   20.000       -5.701   .4199   20.000
   4619.047    -28.063   .3518   20.000       -7.090   .4160   20.000       -5.683   .4199   20.000
   4809.523    -27.855   .3524   20.000       -7.071   .4161   20.000       -5.668   .4199   20.000
   5000.000    -27.639   .3530   20.000       -7.052   .4161   20.000       -5.654   .4200   20.000
   5200.000    -27.409   .3536   20.000       -7.031   .4162   20.000       -5.639   .4200   20.000
   5400.000    -27.172   .3543   20.000       -7.012   .4162   20.000       -5.625   .4200   20.000
   5600.000    -26.926   .3550   20.000       -6.991   .4163   20.000       -5.609   .4201   20.000
   5800.000    -26.677   .3557   20.000       -6.969   .4164   20.000       -5.593   .4201   20.000
   6000.000    -26.418   .3565   20.000       -6.946   .4164   20.000       -5.577   .4202   20.000
   6187.500    -26.165   .3572   20.000       -6.925   .4165   20.000       -5.561   .4202   20.000
   6375.000    -25.906   .3579   20.000       -6.901   .4166   20.000       -5.543   .4203   20.000
   6562.500    -25.638   .3587   20.000       -6.876   .4166   20.000       -5.525   .4203   20.000
   6750.000    -25.364   .3594   20.000       -6.850   .4167   20.000       -5.506   .4204   20.000
   6937.500    -25.082   .3602   20.000       -6.823   .4168   20.000       -5.486   .4204   20.000
   7125.000    -24.794   .3611   20.000       -6.795   .4169   20.000       -5.466   .4205   20.000
   7312.500    -24.500   .3619   20.000       -6.766   .4169   20.000       -5.444   .4205   20.000
   7500.000    -24.197   .3627   20.000       -6.736   .4170   20.000       -5.422   .4206   20.000
end
