 Flow Through the Dike with a Seepage Face                               
 
 Program HYDRUS2
 Date:   6. 4.    Time:   7:27:33
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 


 Time:      2.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

   53   90  -76.8   20.3    1   .742E+01  -.207E+01       29.7   .430     20.00  .712E+00
   54   91  -79.5   17.9    1   .623E+01  -.179E+01       32.1   .430     20.00  .675E+00
   55   92  -82.1   15.7    1   .518E+01  -.153E+01       34.3   .430     20.00  .635E+00
   56   93  -84.6   13.5    1   .415E+01  -.126E+01       36.5   .430     20.00  .589E+00
   57   94  -87.0   11.4    1   .331E+01  -.104E+01       38.6   .430     20.00  .545E+00
   58   95  -89.4    9.3    1   .257E+01  -.836E+00       40.7   .430     20.00  .498E+00
   59   96  -91.6    7.3    1   .180E+01  -.604E+00       42.7   .430     20.00  .451E+00
   60   97  -93.8    5.4    1   .122E+01  -.424E+00       44.6   .430     20.00  .411E+00
   61   98  -96.0    3.5    1   .725E+00  -.261E+00       46.5   .430     20.00  .378E+00
   62   99  -98.0    1.7    1   .292E+00  -.109E+00       48.3   .430     20.00  .355E+00


 Time:     12.5000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1 -100.0     .0    1   .263E-01  -.200E-01       50.0   .430     20.00  .413E+00
    2   39  100.0     .0    1  -.850E-01   .627E-01       10.0   .430     20.00  .594E-04
    3   40   97.8    1.6    1  -.166E+01   .602E+00        8.4   .430     20.00  .810E-04
    4   41   95.5    3.2    1  -.532E+01   .186E+01        6.8   .430     20.00  .135E-03
    5   42   93.1    4.8    1  -.108E+02   .366E+01        5.2   .430     20.00  .219E-03
    6   43   90.7    6.5    1  -.182E+02   .598E+01        3.5   .430     20.00  .338E-03
    7   44   88.1    8.3    1  -.284E+02   .905E+01        1.7   .430     20.00  .522E-03
    8   45   85.5   10.1    1  -.631E+02   .196E+02        -.1   .430     20.00  .752E-03
    9   46   82.8   12.0    2  -.290E+02   .875E+01         .0   .430     20.00  .914E-03
   10   47   80.1   13.9    2  -.194E+02   .568E+01         .0   .430     20.00  .101E-02
   11   48   77.2   15.9    2  -.626E+01   .178E+01         .0   .430     20.00  .108E-02
   12   49   74.3   18.0   -2   .000E+00   .000E+00        -.3   .430     20.00  .118E-02
   13   50   71.3   20.1   -2   .000E+00   .000E+00       -1.0   .429     20.00  .130E-02
   14   51   68.3   22.2   -2   .000E+00   .000E+00       -1.9   .428     20.00  .146E-02
   15   52   65.1   24.4   -2   .000E+00   .000E+00       -3.0   .426     20.00  .163E-02
   16   53   61.9   26.7   -2   .000E+00   .000E+00       -4.2   .423     20.00  .173E-02
   17   54   58.6   29.0   -2   .000E+00   .000E+00       -5.5   .420     20.00  .190E-02
   18   55   55.2   31.3   -2   .000E+00   .000E+00       -6.9   .417     20.00  .226E-02
   19   56   51.8   33.7   -2   .000E+00   .000E+00       -8.3   .412     20.00  .227E-02
   20   57   48.3   36.2   -2   .000E+00   .000E+00       -9.9   .408     20.00  .258E-02
   21   58   44.7   38.7   -2   .000E+00   .000E+00      -11.6   .402     20.00  .290E-02
   22   59   41.0   41.3   -2   .000E+00   .000E+00      -13.4   .397     20.00  .336E-02
   23   60   37.2   43.9   -2   .000E+00   .000E+00      -15.4   .390     20.00  .374E-02
   24   61   33.4   46.6   -2   .000E+00   .000E+00      -17.6   .383     20.00  .476E-02
   25   62   29.5   49.3   -2   .000E+00   .000E+00      -20.2   .375     20.00  .604E-02
   26   63   25.5   52.1   -2   .000E+00   .000E+00      -23.5   .365     20.00  .832E-02
   27   64   21.5   55.0   -2   .000E+00   .000E+00      -27.6   .353     20.00  .125E-01
