 Flow under a dam                                                        
 
 Program HYDRUS2
 Date:  18. 2.    Time:  11:49:50
 Time independent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = m    , T = days , M = mmol 


 Time:     25.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .109E-01
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .246E-01
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .469E-01
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .745E-01
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .100E+00
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .117E+00
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .120E+00
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .111E+00
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .937E-01
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .761E-01
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .641E-01
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .606E-01
   18  124  -20.0     .0    1   .117E+00  -.112E+00       50.0   .430     20.00  .212E-04
   19  125  -22.1     .0    1   .236E+00  -.109E+00       50.0   .430     20.00  .224E-04
   20  126  -24.3     .0    1   .240E+00  -.105E+00       50.0   .430     20.00  .243E-04
   21  127  -26.7     .0    1   .245E+00  -.101E+00       50.0   .430     20.00  .293E-04
   22  128  -29.2     .0    1   .250E+00  -.972E-01       50.0   .430     20.00  .368E-04
   23  129  -31.8     .0    1   .256E+00  -.945E-01       50.0   .430     20.00  .481E-04
   24  130  -34.6     .0    1   .259E+00  -.909E-01       50.0   .430     20.00  .663E-04
   25  131  -37.5     .0    1   .263E+00  -.880E-01       50.0   .430     20.00  .896E-04
   26  132  -40.6     .0    1   .265E+00  -.847E-01       50.0   .430     20.00  .116E-03
   27  133  -43.7     .0    1   .266E+00  -.815E-01       50.0   .430     20.00  .147E-03
   28  134  -47.1     .0    1   .267E+00  -.785E-01       50.0   .430     20.00  .177E-03
   29  135  -50.6     .0    1   .267E+00  -.753E-01       50.0   .430     20.00  .190E-03
   30  136  -54.2     .0    1   .268E+00  -.729E-01       50.0   .430     20.00  .187E-03
   31  137  -57.9     .0    1   .271E+00  -.708E-01       50.0   .430     20.00  .153E-03
   32  138  -61.8     .0    1   .274E+00  -.692E-01       50.0   .430     20.00  .104E-03
   33  139  -65.8     .0    1   .279E+00  -.682E-01       50.0   .430     20.00  .571E-04


 Time:    700.0000

    i    n    x      z    Code     Q          v           h       th       Temp     Conc
                                 [V/T]      [L/T]        [L]     [-]        [C]    [M/L3]

    1    1  -70.0     .0    1   .141E+00  -.678E-01       50.0   .430     20.00  .161E-04
    2   52   80.0     .0    2  -.111E+00   .568E-01         .0   .430     20.00  .136E-03
    3   53   76.1     .0    2  -.220E+00   .572E-01         .0   .430     20.00  .886E-03
    4   54   72.3     .0    2  -.217E+00   .585E-01         .0   .430     20.00  .392E-02
    5   55   68.7     .0    2  -.216E+00   .607E-01         .0   .430     20.00  .115E-01
    6   56   65.2     .0    2  -.218E+00   .637E-01         .0   .430     20.00  .268E-01
    7   57   61.8     .0    2  -.223E+00   .678E-01         .0   .430     20.00  .498E-01
    8   58   58.6     .0    2  -.229E+00   .727E-01         .0   .430     20.00  .773E-01
    9   59   55.6     .0    2  -.237E+00   .790E-01         .0   .430     20.00  .103E+00
   10   60   52.6     .0    2  -.249E+00   .870E-01         .0   .430     20.00  .117E+00
   11   61   49.8     .0    2  -.263E+00   .966E-01         .0   .430     20.00  .118E+00
   12   62   47.2     .0    2  -.283E+00   .110E+00         .0   .430     20.00  .107E+00
   13   63   44.7     .0    2  -.309E+00   .126E+00         .0   .430     20.00  .892E-01
   14   64   42.3     .0    2  -.345E+00   .150E+00         .0   .430     20.00  .711E-01
   15   65   40.1     .0    2  -.390E+00   .180E+00         .0   .430     20.00  .571E-01
   16   66   38.0     .0    2  -.430E+00   .212E+00         .0   .430     20.00  .497E-01
   17   67   36.0     .0    2  -.222E+00   .227E+00         .0   .430     20.00  .479E-01
