 Welcome to HYDRUS-2D                                                    
 
 Program HYDRUS2
 Date:  17. 2.    Time:  10:54:49
 Time dependent boundary conditions
 Vertical plane flow, V = L*L
 Units: L = cm   , T = days , M = mmol 

 Max. number of iterations             20
 Absolute water content tolerance [-]  .00050
 Absolute pressure head tolerance [L]  .10000



MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l       Qm     QsW  AlfaW      KsW

    1     .029   .366    .280E-01    .224E+01    .541E+03   .500   .366   .366   .056    .541E+03
    2     .106   .469    .520E-02    .140E+01    .131E+02   .500   .469   .469   .010    .131E+02

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S
   .3550   -.399E+03   .2601E+01   .1813E-03   .7601E-01  -.1119E+01     .6867
   .3443   -.462E+03   .2665E+01   .1576E-03   .5282E-01  -.1277E+01     .6573
   .3337   -.535E+03   .2728E+01   .1357E-03   .3629E-01  -.1440E+01     .6279
   .3231   -.619E+03   .2792E+01   .1159E-03   .2470E-01  -.1607E+01     .5987
   .3127   -.717E+03   .2856E+01   .9830E-04   .1666E-01  -.1778E+01     .5699
   .3025   -.830E+03   .2919E+01   .8281E-04   .1116E-01  -.1952E+01     .5418
   .2925   -.961E+03   .2983E+01   .6938E-04   .7431E-02  -.2129E+01     .5144
   .2829   -.111E+04   .3046E+01   .5786E-04   .4920E-02  -.2308E+01     .4879
   .2737   -.129E+04   .3110E+01   .4807E-04   .3243E-02  -.2489E+01     .4624
   .2648   -.149E+04   .3174E+01   .3980E-04   .2130E-02  -.2672E+01     .4379
   .2563   -.173E+04   .3237E+01   .3286E-04   .1395E-02  -.2856E+01     .4144
   .2481   -.200E+04   .3301E+01   .2707E-04   .9108E-03  -.3041E+01     .3920
end

 Solute transport information
 ============================

 Galerkin finite-element method

 Number of species in the chain :   1

 Mat.     Bulk.D.    DispL     DispT    Fraction  ImmobileWC
   1       1.5000   10.0000    1.0000    1.0000     .0000
   2       1.5000   10.0000    1.0000    1.0000     .0000

    Dif.w.      Dif.g.   -------------------------------------------------- ( 1.solute)
   .0000E+00   .0000E+00
 Mat.     KS         Nu         Beta      Henry      SinkL1     SinkS1     SinkG1     SinkL1`    SinkS1`    SinkG1`    SinkL0     SinkS0     SinkG0      Alfa
   1  .0000E+00  .0000E+00  .1000E+01  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00

 No adsorption or linear adsorp. isotherm for material  1
   2  .0000E+00  .0000E+00  .1000E+01  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00  .0000E+00

 No adsorption or linear adsorp. isotherm for material  2

   Conc1     Conc2     Conc3     Conc4     cSink     cWell     Conc7     gAtm          d
  .100E+01  .000E+00  .000E+00  .000E+00  .000E+00  .000E+00  .000E+00  .000E+00     .0000

 tPulse =             1.000
